Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
CXAG11;AGÊNCIAS DE BANCOS;155.867,20;0,69;0,91 %;3,43 %;231.116.685,67;11.535
CXCE11;LAJES CORPORATIVAS;18.978,80;0,66;1,14 %;2,54 %;107.905.417,91;2.915
CXCE11B;LAJES CORPORATIVAS;9.205,00;0,60;1,09 %;0,18 %;110.543.765,88;3.247
CXCI11;INDEFINIDO;103.787,10;0,83;1,02 %;1,23 %;181.146.099,51;5.446
CXCO11;LAJES CORPORATIVAS;158.099,45;0,75;1,05 %;5,08 %;374.665.086,21;12.261
CXRI11;FUNDO DE FUNDOS;23.625,30;0,77;0,90 %;0,88 %;137.430.479,15;1.757
CXTL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;2.913,88;0,82;0,20 %;-11,06 %;22.249.360,54;579
CYCR11;INDEFINIDO;801.657,95;0,96;1,14 %;4,97 %;345.067.610,05;17.487
DAMA11;MISTO;5.178,15;0,90;0,99 %;3,54 %;46.225.405,46;145
DAMT11B;SHOPPINGS;23,00;0,79;0,00 %;0,00 %;257.418.842,39;541
DAYM11;LAJES CORPORATIVAS;5.508,50;0,40;0,89 %;7,79 %;169.980.327,08;856
DCRA11;INDEFINIDO;121.584,35;0,73;1,18 %;2,98 %;66.705.870,24;14.922
DEVA11;PAPÉIS;1.141.308,50;0,25;1,18 %;-5,08 %;1.377.513.358,51;80.230
DIVS11;FI-INFRA;835.867,30;N/A;1,15 %;4,11 %;N/A;0
DLMT11;VAREJO;N/A;N/A;0,00 %;0,00 %;6.801.386,29;9
DPRO11;INDEFINIDO;1.067,80;0,67;0,94 %;0,63 %;45.703.311,18;767
DRIT11B;LAJES CORPORATIVAS;1.547,00;0,62;0,63 %;17,70 %;60.485.010,41;348
DVFF11;FUNDO DE FUNDOS;113.203,15;0,67;1,10 %;-1,34 %;97.225.019,73;2.046
EDFO11B;LAJES CORPORATIVAS;7.938,50;0,56;0,42 %;-0,22 %;49.670.858,85;490
EDGA11;LAJES CORPORATIVAS;6.965,65;0,30;0,42 %;5,04 %;172.041.415,17;3.750
EDGE11;PAPÉIS;1.071,00;0,89;7,20 %;0,00 %;13.821.543,99;126
EGAF11;INDEFINIDO;1.024.720,05;1,00;1,43 %;5,10 %;310.566.681,57;12.026
EIRA11;OUTROS;9.324,54;0,98;1,19 %;0,10 %;21.104.117,53;123
EMET11;MISTO;4.810,20;0,97;1,01 %;-1,00 %;49.063.293,20;167
ENDD11;INDEFINIDO;403.058,70;N/A;4,80 %;9,27 %;N/A;0
EQIA11;FIAGRO;N/A;N/A;N/A;N/A;N/A;0
EQIR11;INDEFINIDO;140.730,80;0,89;1,16 %;9,24 %;105.010.036,57;9.776
ERCR11;VAREJO;N/A;1,37;0,00 %;0,00 %;27.326.418,45;9
ERPA11;LAJES CORPORATIVAS;10.751,70;0,77;0,73 %;0,00 %;82.907.027,88;844
ESUD11;INDEFINIDO;48.600,00;N/A;23,08 %;0,00 %;N/A;0
ESUT11;INDEFINIDO;20,00;N/A;210,90 %;0,00 %;N/A;0
ESUU11;INDEFINIDO;20,00;N/A;199,49 %;0,00 %;N/A;0
EURO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;34.025,85;0,81;0,63 %;10,30 %;152.651.217,53;1.995
EXES11;PAPÉIS;175.558,60;0,96;1,37 %;0,00 %;139.542.476,28;1.763
FAED11;EDUCACIONAL;83.299,15;0,73;1,07 %;5,18 %;153.986.723,98;4.001
FAMB11B;LAJES CORPORATIVAS;47.041,93;0,18;0,00 %;0,00 %;424.524.340,32;2.173
FAOE11;INDEFINIDO;N/A;14,53;0,00 %;0,00 %;118.155.565,38;8.102
FATN11;LAJES CORPORATIVAS;1.763.350,50;0,90;0,90 %;2,85 %;563.056.512,33;25.165
FCFL11;EDUCACIONAL;75.571,00;1,03;0,71 %;0,91 %;425.797.052,60;2.935
FGAA11;INDEFINIDO;1.345.476,15;0,98;1,28 %;1,52 %;424.503.503,27;52.508
FIGS11;SHOPPINGS;284.591,05;0,70;0,97 %;5,66 %;199.936.533,70;11.631
FIIB11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;440.927,00;0,81;0,65 %;0,00 %;403.833.488,36;14.875
FIIP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;643.310,35;0,71;0,94 %;-5,82 %;185.094.220,85;6.000
FIIP11B;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.172,80;0,73;0,96 %;-1,78 %;184.360.354,72;6.586
FISC11;LAJES CORPORATIVAS;1.416,44;0,61;0,83 %;0,00 %;188.745.533,56;223
FLCR11;PAPÉIS;118.257,10;1,00;1,14 %;0,71 %;71.122.415,86;2.802
FLFL11;FUNDO DE DESENVOLVIMENTO;N/A;N/A;0,00 %;0,00 %;475.949.062,69;1
FLMA11;LAJES CORPORATIVAS;60.966,60;0,64;0,66 %;-0,49 %;345.467.420,77;11.230
FLRP11;SHOPPINGS;17.905,50;0,98;0,71 %;-1,21 %;159.802.584,35;1.931
FMOF11;LAJES CORPORATIVAS;5.169,50;0,86;3,69 %;-6,06 %;23.548.189,15;406
FPAB11;LAJES CORPORATIVAS;7.030,27;0,59;0,82 %;3,53 %;268.762.408,54;672
FPOR11;FIP-IE;41,00;N/A;0,00 %;0,00 %;N/A;0
FRHY11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;1.078.428,51;7
FTCA11;INDEFINIDO;110.943,55;0,92;0,00 %;0,00 %;47.190.949,35;7.713
FVPQ11;SHOPPINGS;108.580,05;0,73;0,56 %;-9,62 %;262.606.163,61;3.639
FYTO11;PAPÉIS;191.026,85;0,88;1,22 %;0,23 %;151.336.029,61;10.527
FZDA11;INDEFINIDO;4.525,70;0,68;3,40 %;-0,69 %;281.727.178,97;285
FZDB11;INDEFINIDO;1.268,50;0,81;3,32 %;21,43 %;640.790.022,82;120
GAME11;INDEFINIDO;137.920,95;0,93;1,09 %;-1,19 %;278.476.743,50;21.269
GARE11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;13.865.895,90;0,90;0,94 %;-2,98 %;2.753.589.125,34;456.459
GCOI11;INDEFINIDO;27.690,00;0,99;0,00 %;0,00 %;8.348.979,92;384
GCRA11;INDEFINIDO;202.147,40;0,65;1,22 %;1,09 %;147.295.800,59;6.861
GCRI11;PAPÉIS;183.516,20;0,74;1,21 %;5,06 %;131.749.955,08;4.207
GESE11B;EDUCACIONAL;N/A;23,82;0,00 %;0,00 %;118.155.565,38;8.102
GFDL11;LOGÍSTICA;13.462,65;1,13;0,15 %;0,00 %;25.100.255,39;1.762
GGRC11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;10.236.760,05;0,90;1,00 %;1,21 %;2.400.934.581,34;290.631
GLCR11;PAPÉIS;7.268,28;0,99;0,90 %;0,00 %;36.528.580,97;832
GLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;553.732,30;0,65;0,61 %;2,69 %;81.622.819,25;1.714
GLPF11;LOGÍSTICA;39.668,65;1,03;0,85 %;0,19 %;153.821.916,10;2.445
GRUL11;LOGÍSTICA;340.665,50;0,94;0,87 %;0,77 %;236.005.332,99;4.952
GRWA11;INDEFINIDO;7.638,65;0,77;1,22 %;-0,36 %;28.394.819,73;2.091
GSFI11;SHOPPINGS;5.056.849,40;0,87;0,03 %;0,00 %;1.211.655.059,83;6.370
GTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;22.885,25;1,00;0,00 %;0,00 %;118.155.565,38;8.102
GTWR11;LAJES CORPORATIVAS;928.476,55;0,82;1,07 %;1,19 %;1.216.981.053,03;33.833
GURB11;INDEFINIDO;5.000.076,00;0,85;0,65 %;0,00 %;144.584.994,58;1
GZIT11;INDEFINIDO;771.557,75;0,54;1,61 %;3,89 %;1.985.504.216,85;7.723
HABT11;PAPÉIS;1.295.282,10;0,80;1,20 %;3,68 %;775.251.056,63;2
HBCR11;INDEFINIDO;1.500.848,82;1,18;0,11 %;0,00 %;187.994.947,47;46
HBRH11;LAJES CORPORATIVAS;14.627,00;0,80;0,55 %;1,00 %;316.852.348,31;720
HCHG11;PAPÉIS;58.895,82;0,94;0,87 %;2,34 %;106.446.443,91;547
HCRA11;INDEFINIDO;0,83;0,15;145,30 %;2,20 %;48.323.751,87;113
HCRI11;HOSPITALAR;39.711,80;1,10;1,06 %;9,53 %;55.242.140,65;3.003
HCTR11;PAPÉIS;1.194.788,25;0,20;1,26 %;-1,61 %;2.336.448.804,37;130.689
HDEL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;8.885,80;1,13;0,00 %;0,00 %;75.330.409,11;108
HFOF11;FUNDO DE FUNDOS;2.955.028,65;0,86;0,86 %;5,58 %;1.797.051.961,82;96.722
HGAG11;INDEFINIDO;672,56;0,54;0,94 %;-8,63 %;5.798.174,62;1.013
HGBL11;MISTO;636.357,50;1,01;0,78 %;-2,54 %;245.881.817,07;4.599
HGBS11;SHOPPINGS;4.375.561,00;0,97;0,80 %;0,00 %;2.668.558.839,35;149.239
HGCR11;PAPÉIS;3.859.461,00;0,98;0,96 %;0,87 %;1.517.657.790,44;103.592
HGIC11;PAPÉIS;3.597,45;0,61;0,84 %;6,27 %;50.702.131,65;659
HGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;14.789.694,70;0,95;0,70 %;-0,03 %;7.056.514.999,00;536.031
HGPO11;LAJES CORPORATIVAS;251.851,75;0,99;48,22 %;5,05 %;265.046.845,77;8.902
HGRE11;LAJES CORPORATIVAS;3.091.695,60;0,84;0,69 %;0,02 %;1.744.664.843,62;142.846
HGRU11;MISTO;6.993.548,85;0,98;0,74 %;2,33 %;3.003.875.760,70;230.224
HILG11;INDEFINIDO;186,67;0,70;0,00 %;0,00 %;138.480.323,53;104
HLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;55.433,60;0,77;0,75 %;0,76 %;509.445.289,83;4.150
HOFC11;LAJES CORPORATIVAS;122.988,15;0,55;0,65 %;75,72 %;217.884.685,99;4.490
HOSI11;IMÓVEIS RESIDENCIAIS;8.887,20;0,69;0,30 %;0,00 %;69.477.364,30;1.085
HPDP11;SHOPPINGS;948.484,95;0,93;0,64 %;-4,86 %;317.997.477,13;386
HRDF11;FUNDO DE DESENVOLVIMENTO;651,23;0,40;0,00 %;0,00 %;13.205.037,58;855
HREC11;PAPÉIS;361.027,60;0,97;0,96 %;2,08 %;459.058.454,12;2.464
HRES11;IMÓVEIS RESIDENCIAIS;2.140.733,00;1,12;0,00 %;0,00 %;59.141.811,43;137
HSAF11;PAPÉIS;1.742.883,45;0,91;1,19 %;-1,12 %;225.736.711,97;8.745
HSLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;862.958,25;0,85;0,79 %;-0,63 %;1.390.517.364,56;40.289
HSML11;SHOPPINGS;4.497.154,90;0,89;0,76 %;0,04 %;2.206.058.241,15;184.556
HSRE11;MISTO;32.989,05;1,15;0,79 %;1,41 %;779.956.729,70;413
HTMX11;HOTÉIS;704.022,20;0,91;0,70 %;-4,61 %;433.196.629,78;34.944
HUCG11;HOSPITALAR;3.132,69;0,74;0,83 %;7,97 %;143.721.908,37;235
HUSC11;HOSPITALAR;2.417,00;0,64;1,07 %;-1,92 %;128.412.326,31;752
HUSI11;HOSPITALAR;1.220,00;0,98;0,00 %;0,00 %;145.541.572,75;100
HYPI11;OUTROS;363,00;60,79;0,00 %;0,00 %;3.881.671,48;109
IAAG11;INDEFINIDO;235.375,90;0,89;1,46 %;0,00 %;102.752.875,67;13.432
IAGR11;INDEFINIDO;10.369,70;0,73;0,15 %;-3,18 %;16.958.985,37;3.477
IBBP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;33.935,60;0,85;0,87 %;-5,56 %;528.217.074,42;925
IBCR11;PAPÉIS;418.391,05;0,56;1,20 %;2,11 %;86.572.256,21;4.077
ICNE11;IMÓVEIS RESIDENCIAIS;9.994.415,00;1,16;0,00 %;0,00 %;79.623.368,87;6
ICRI11;MISTO;1.186.911,25;0,92;1,00 %;4,51 %;393.195.721,40;10.988
IDFI11;INDEFINIDO;2.592,80;1,25;78,04 %;-54,34 %;3.283.391,87;617
IDGR11;MISTO;332,83;16,67;5,99 %;-50,98 %;79.368,95;171
IDUA11;IMÓVEIS COMERCIAIS - OUTROS;N/A;1,16;0,00 %;0,00 %;22.266.518,37;1
IFRA11;INDEFINIDO;2.700.822,45;N/A;0,85 %;1,84 %;N/A;0
IFRI11;MISTO;2.306.599,85;N/A;1,34 %;2,29 %;N/A;0
IMOV11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;504.121.023,09;13.027
INFA11;OUTROS;N/A;N/A;0,00 %;0,00 %;N/A;0
INFB11;INDEFINIDO;3.861,27;N/A;0,99 %;18,54 %;N/A;0
INLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;232.456,20;0,73;0,76 %;0,51 %;478.585.896,50;15.723
INRD11;FUNDO DE DESENVOLVIMENTO;32.297,60;0,65;0,86 %;2,69 %;134.595.711,36;6.183
IRIF11;PAPÉIS;31.871,60;N/A;1,32 %;2,33 %;N/A;0
IRIM11;INDEFINIDO;6.324.762,20;0,76;1,02 %;-1,62 %;2.963.771.750,16;226.197
ISCJ11;PAPÉIS;10.174,00;0,30;3,56 %;21,77 %;32.247.797,88;69
ITIP11;PAPÉIS;49.695,45;0,95;1,04 %;0,71 %;52.402.893,53;7.699
ITIT11;FUNDO DE FUNDOS;101.543,25;0,90;0,84 %;4,06 %;73.276.908,35;9.362
ITRI11;SHOPPINGS;1.467.965,15;0,87;0,97 %;5,86 %;606.108.095,46;14.094
IVCI11;PAPÉIS;N/A;0,98;0,00 %;0,00 %;49.423.677,58;16
JASC11;IMÓVEIS COMERCIAIS - OUTROS;988,00;0,87;0,70 %;-2,89 %;441.203.809,79;165
JBFO11;PAPÉIS;82,00;1,94;0,00 %;0,00 %;9.919.792,95;369
JCCJ11;PAPÉIS;23.175,88;0,82;1,12 %;8,20 %;945.412.613,24;249
JCIN11;FUNDO DE FUNDOS;9.973.769,00;0,82;0,00 %;0,00 %;239.367.985,58;3
JFLL11;IMÓVEIS RESIDENCIAIS;79.321,85;0,68;0,31 %;-3,84 %;140.709.122,42;2.348
JGPX11;INDEFINIDO;440.313,50;0,74;1,55 %;-4,26 %;206.509.327,52;5.752
JMBI11;OUTROS;1.208.341,50;N/A;1,54 %;6,01 %;N/A;0
JPPA11;PAPÉIS;140.776,40;0,85;1,22 %;5,47 %;90.532.943,78;6.267
JSAF11;FUNDO DE FUNDOS;1.945.818,85;0,85;0,99 %;3,99 %;731.999.476,13;24.632
JSCR11;PAPÉIS;409.050,55;0,90;1,11 %;3,26 %;209.843.213,15;3.428
JSRE11;MISTO;3.528.761,95;0,64;0,69 %;4,89 %;2.153.572.277,86;86.464
JURO11;INDEFINIDO;4.673.210,60;N/A;0,95 %;1,62 %;N/A;0
KCRE11;INDEFINIDO;511.999,75;0,93;0,89 %;2,39 %;341.571.113,81;16.208
KDIF11;INDEFINIDO;3.845.661,10;N/A;1,11 %;-1,28 %;N/A;0
KDOL11;MISTO;74.555,70;0,96;0,50 %;-2,97 %;63.896.868,33;1.671
KEVE11;FUNDO DE DESENVOLVIMENTO;2.285,17;1,54;0,00 %;0,00 %;59.450.216,25;433
KFEN11;INDEFINIDO;1.571,43;1,16;0,00 %;0,00 %;169.349.954,18;129
